sample_id,platform,domain,text,sentiment_label,emotion,intensity,formality,has_code_switching,cs_languages,politeness,is_implicit,timestamp,annotator_agreement,word_count,char_count,text_processed,has_negation,has_intensifier,has_euphemism,has_sarcasm_marker,split
INDO_00010,Instagram,Wisata & Travel,"Spot foto di Nusa Penida bagus sekali, di luar dugaan, kaget juga awalnya, delivery-nya so good. 🙏",positif,terkejut,0.66,semi-formal,True,Indo-English,sedang,False,2026-03-23 22:17:53,0.91,17,98,"spot foto di nusa penida bagus sekali, di luar dugaan, kaget juga awalnya, delivery-nya so good. 🙏",False,True,False,False,test
INDO_00195,TikTok,Makanan & Minuman,"Menu ayam geprek ternyata mengecewakan, jujur bikin kecewa, customer service-nya not worth it. parah sih",negatif,sedih,0.73,informal,True,Indo-English,sedang,False,2026-01-07 04:07:04,0.92,15,104,"menu ayam geprek ternyata mengecewakan, jujur bikin kecewa, customer service-nya not worth it. parah sih",False,False,False,False,train
INDO_00407,TikTok,Layanan,"Tidak ada yang berbeda dari layanan bank digital dibanding hari-hari sebelumnya, overall quality-nya just average.",netral,netral,0.39,semi-formal,True,Indo-English,sedang,True,2026-01-06 18:51:54,0.86,15,114,"tidak ada yang berbeda dari layanan bank digital dibanding hari-hari sebelumnya, overall quality-nya just average.",True,False,False,False,train
INDO_00085,Twitter,Wisata & Travel,"Desa wisata di Kintamani memuaskan banget, customer service-nya worth it.",positif,senang,0.77,informal,True,Indo-English,rendah,False,2026-01-19 04:39:05,0.89,10,73,"desa wisata di kintamani memuaskan banget, customer service-nya worth it.",False,True,False,False,validation
INDO_00372,Twitter,Hiburan & Film,"Drama seri yang lagi viral tidak ada perubahan berarti, overall quality-nya okay-ish.",netral,netral,0.02,informal,True,Indo-English,rendah,False,2026-02-12 10:55:36,0.86,12,85,"drama seri yang lagi viral tidak ada perubahan berarti, overall quality-nya okay-ish.",True,False,False,False,train
INDO_00389,YouTube,Produk/E-commerce,Jam tangan pintar berjalan sesuai standar. btw,netral,netral,0.1,informal,False,Indonesia,sedang,False,2026-02-15 04:16:42,0.78,7,46,jam tangan pintar berjalan sesuai standar. btw,False,False,False,False,train
INDO_00496,YouTube,Wisata & Travel,"Kampung wisata di Ubud tidak ada perubahan berarti, seperti biasa saja, overall quality-nya so-so. min",netral,netral,0.09,semi-formal,True,Indo-English,rendah,False,2026-04-09 03:07:34,0.92,15,102,"kampung wisata di ubud tidak ada perubahan berarti, seperti biasa saja, overall quality-nya so-so. min",True,False,False,False,train
INDO_00031,TikTok,Hiburan & Film,"Serial drama di platform streaming bagus sekali, di luar dugaan, rasanya senang banget, overall quality-nya highly recommended. sumpah bener",positif,senang,0.71,semi-formal,True,Indo-English,sedang,False,2026-04-27 21:36:38,0.89,19,140,"serial drama di platform streaming bagus sekali, di luar dugaan, rasanya senang banget, overall quality-nya highly recommended. sumpah bener",False,True,False,False,train
INDO_00317,TikTok,Makanan & Minuman,"Bakso beranak sama sekali tidak sesuai, bikin kecewa banget, delivery-nya a waste of money. wkwk",negatif,jijik,0.54,semi-formal,True,Indo-English,rendah,False,2026-01-06 03:39:59,0.72,15,96,"bakso beranak sama sekali tidak sesuai, bikin kecewa banget, delivery-nya a waste of money. wkwk",True,True,False,False,validation
INDO_00409,Instagram,Makanan & Minuman,"Bakso beranak berjalan sesuai standar, ya standar aja sih, packaging-nya just average. 😊",netral,netral,0.19,formal,True,Indo-English,sedang,False,2026-04-19 23:35:29,0.93,13,88,"bakso beranak berjalan sesuai standar, ya standar aja sih, packaging-nya just average. 😊",False,False,False,False,train
INDO_00491,Instagram,Hiburan & Film,"Album baru band indie berjalan seperti hari-hari biasa saja, customer service-nya okay-ish. 🙏",netral,netral,0.05,semi-formal,True,Indo-English,sedang,True,2026-02-08 14:39:02,0.88,13,93,"album baru band indie berjalan seperti hari-hari biasa saja, customer service-nya okay-ish. 🙏",False,False,False,False,train
INDO_00492,Instagram,Produk/E-commerce,"Tas ransel anti air tidak ada perubahan berarti, customer service-nya so-so. 🙏",netral,netral,0.22,formal,True,Indo-English,rendah,False,2026-04-16 19:36:40,0.77,12,78,"tas ransel anti air tidak ada perubahan berarti, customer service-nya so-so. 🙏",True,False,False,False,validation
INDO_00281,Instagram,Hiburan & Film,"Sampai harus komplain dua kali gara-gara acara reality show terbaru, experience-nya overrated. 🙏",negatif,sedih,0.65,informal,True,Indo-English,rendah,True,2026-03-23 11:06:14,0.93,13,96,"sampai harus komplain dua kali gara-gara acara reality show terbaru, experience-nya overrated. 🙏",False,False,True,False,train
INDO_00357,TikTok,Wisata & Travel,Kawasan Danau Toba terasa cukup wajar. sumpah bener,netral,netral,0.28,formal,False,Indonesia,rendah,False,2026-02-12 19:19:39,0.92,8,51,kawasan danau toba terasa cukup wajar. sumpah bener,False,False,True,False,train
INDO_00077,Instagram,Wisata & Travel,"Spot foto di Nusa Penida bagus sekali, di luar dugaan, seneng banget jujur, delivery-nya worth it. 🙏",positif,senang,0.99,informal,True,Indo-English,sedang,False,2026-03-29 05:27:57,0.8,17,100,"spot foto di nusa penida bagus sekali, di luar dugaan, seneng banget jujur, delivery-nya worth it. 🙏",False,True,False,False,train
INDO_00462,YouTube,Wisata & Travel,"Candi Borobudur tidak ada perubahan berarti, overall quality-nya just average.",netral,netral,0.39,formal,True,Indo-English,rendah,False,2026-04-25 10:10:37,0.75,10,78,"candi borobudur tidak ada perubahan berarti, overall quality-nya just average.",True,False,False,False,train
INDO_00498,YouTube,Wisata & Travel,"Pantai Kuta di Bali berjalan seperti hari-hari biasa saja, sungguh, delivery-nya nothing special. btw",netral,netral,0.3,semi-formal,True,Indo-English,sedang,True,2026-02-24 00:27:45,0.8,14,101,"pantai kuta di bali berjalan seperti hari-hari biasa saja, sungguh, delivery-nya nothing special. btw",False,True,True,False,train
INDO_00212,Instagram,Produk/E-commerce,"Headset wireless sama sekali tidak sesuai, bikin kecewa banget, packaging-nya overrated.",negatif,jijik,0.65,formal,True,Indo-English,rendah,False,2026-01-02 06:17:11,0.81,11,88,"headset wireless sama sekali tidak sesuai, bikin kecewa banget, packaging-nya overrated.",True,True,False,False,train
INDO_00102,Instagram,Wisata & Travel,"Wahana di Dufan ternyata memuaskan, delivery-nya worth it.",positif,senang,0.63,informal,True,Indo-English,sedang,False,2026-02-01 00:03:58,0.79,8,58,"wahana di dufan ternyata memuaskan, delivery-nya worth it.",False,False,False,False,train
INDO_00335,Instagram,Hiburan & Film,"Acara stand-up comedy semalam berjalan sesuai standar, packaging-nya okay-ish. ✨",netral,netral,0.28,semi-formal,True,Indo-English,sedang,False,2026-03-24 01:31:33,0.77,10,80,"acara stand-up comedy semalam berjalan sesuai standar, packaging-nya okay-ish. ✨",False,False,False,False,train
INDO_00476,Twitter,Produk/E-commerce,Peralatan dapur multifungsi tidak ada perubahan berarti.,netral,netral,0.34,semi-formal,False,Indonesia,rendah,False,2026-03-08 01:40:56,0.78,7,56,peralatan dapur multifungsi tidak ada perubahan berarti.,True,False,False,False,train
INDO_00337,TikTok,Sosial & Politik,Tidak ada yang berbeda dari kebijakan kerja dari rumah dibanding hari-hari sebelumnya. sumpah bener,netral,netral,0.27,formal,False,Indonesia,sedang,True,2026-02-23 22:58:27,0.9,14,99,tidak ada yang berbeda dari kebijakan kerja dari rumah dibanding hari-hari sebelumnya. sumpah bener,True,False,True,False,train
INDO_00441,YouTube,Sosial & Politik,"Diskusi soal reformasi birokrasi berjalan sesuai standar, ya standar aja sih, customer service-nya just average. btw",netral,netral,0.16,semi-formal,True,Indo-English,rendah,False,2026-01-31 04:35:13,0.78,16,116,"diskusi soal reformasi birokrasi berjalan sesuai standar, ya standar aja sih, customer service-nya just average. btw",False,False,False,False,test
INDO_00174,Instagram,Sosial & Politik,"Mohon maaf sebelumnya, Saudara/i, sampai harus komplain dua kali gara-gara wacana pembangunan infrastruktur daerah, delivery-nya disappointing.",negatif,sedih,0.58,informal,True,Indo-English,tinggi,True,2026-02-11 19:26:05,0.84,16,143,"mohon maaf sebelumnya, saudara/i, sampai harus komplain dua kali gara-gara wacana pembangunan infrastruktur daerah, delivery-nya disappointing.",False,False,True,False,train
INDO_00003,YouTube,Produk/E-commerce,"Tas ransel anti air bagus sekali, di luar dugaan, delivery-nya impressive. min",positif,senang,0.88,semi-formal,True,Indo-English,rendah,False,2026-03-07 08:38:39,0.76,12,78,"tas ransel anti air bagus sekali, di luar dugaan, delivery-nya impressive. min",False,True,False,False,train
INDO_00334,YouTube,Hiburan & Film,"Review film yang lagi ramai dibahas tidak sesuai yang dijanjikan, delivery-nya overrated. min",negatif,marah,0.85,formal,True,Indo-English,rendah,False,2026-01-20 20:20:03,0.92,13,93,"review film yang lagi ramai dibahas tidak sesuai yang dijanjikan, delivery-nya overrated. min",True,False,False,False,train
INDO_00410,YouTube,Sosial & Politik,Isu lingkungan di kota besar berjalan sesuai standar. min,netral,netral,0.36,informal,False,Indonesia,sedang,False,2026-01-19 00:13:37,0.89,9,57,isu lingkungan di kota besar berjalan sesuai standar. min,False,False,False,False,train
INDO_00071,TikTok,Hiburan & Film,"Festival film independen tahun ini memuaskan banget, seneng banget jujur. sumpah bener",positif,senang,0.94,informal,False,Indonesia,rendah,False,2026-03-15 18:35:22,0.74,12,86,"festival film independen tahun ini memuaskan banget, seneng banget jujur. sumpah bener",False,True,False,False,train
INDO_00210,YouTube,Hiburan & Film,"Belum juga ada kabar dari webtoon yang lagi hits setelah sekian lama menunggu, sungguh.",negatif,sedih,0.73,formal,False,Indonesia,sedang,True,2026-01-19 18:43:51,0.94,14,87,"belum juga ada kabar dari webtoon yang lagi hits setelah sekian lama menunggu, sungguh.",True,True,False,False,train
INDO_00064,Instagram,Wisata & Travel,"Kawasan Malioboro bagus sekali, di luar dugaan. 😊",positif,senang,1,semi-formal,False,Indonesia,rendah,False,2026-03-11 16:57:54,0.89,8,49,"kawasan malioboro bagus sekali, di luar dugaan. 😊",False,True,False,False,validation
INDO_00385,Twitter,Sosial & Politik,"Isu sampah plastik di sungai tidak ada perubahan berarti, customer service-nya just average. #curhat",netral,netral,0.31,formal,True,Indo-English,sedang,False,2026-03-08 18:56:59,0.87,14,100,"isu sampah plastik di sungai tidak ada perubahan berarti, customer service-nya just average. #curhat",True,False,False,False,train
INDO_00094,TikTok,Makanan & Minuman,"Sop buntut sama sekali tidak mengecewakan, malah memuaskan banget, rasanya senang banget, customer service-nya impressive. wkwk",positif,senang,0.72,formal,True,Indo-English,sedang,False,2026-04-28 05:34:02,0.83,16,127,"sop buntut sama sekali tidak mengecewakan, malah memuaskan banget, rasanya senang banget, customer service-nya impressive. wkwk",True,True,False,False,train
INDO_00486,TikTok,Layanan,Sistem antrean di kantor pos berjalan sesuai standar. parah sih,netral,netral,0.14,semi-formal,False,Indonesia,sedang,False,2026-02-21 08:45:23,0.83,10,63,sistem antrean di kantor pos berjalan sesuai standar. parah sih,False,False,False,False,train
INDO_00186,YouTube,Wisata & Travel,"Terima kasih sebelumnya, Admin, sampai harus komplain dua kali gara-gara rute road trip Trans-Sumatra, delivery-nya not worth it.",negatif,jijik,0.66,informal,True,Indo-English,tinggi,True,2026-01-09 10:29:37,0.71,18,129,"terima kasih sebelumnya, admin, sampai harus komplain dua kali gara-gara rute road trip trans-sumatra, delivery-nya not worth it.",False,False,True,False,train
INDO_00034,TikTok,Produk/E-commerce,"Aksesoris handphone tetap terasa menyenangkan, seneng banget jujur. sumpah bener",positif,senang,0.97,semi-formal,False,Indonesia,rendah,False,2026-03-31 05:04:30,0.95,10,80,"aksesoris handphone tetap terasa menyenangkan, seneng banget jujur. sumpah bener",False,False,True,False,train
INDO_00078,TikTok,Makanan & Minuman,"Gudeg khas Jogja bagus sekali, di luar dugaan, customer service-nya impressive. wkwk",positif,senang,0.62,formal,True,Indo-English,rendah,False,2026-04-15 03:00:14,0.8,12,84,"gudeg khas jogja bagus sekali, di luar dugaan, customer service-nya impressive. wkwk",False,True,False,False,train
INDO_00001,YouTube,Makanan & Minuman,"Bakso beranak memuaskan banget, bikin senyum sendiri. btw",positif,senang,0.87,informal,False,Indonesia,rendah,False,2026-01-25 05:43:55,0.74,8,57,"bakso beranak memuaskan banget, bikin senyum sendiri. btw",False,True,False,False,test
INDO_00012,YouTube,Wisata & Travel,Jalur pendakian Gunung Bromo ternyata bagus sekali. btw,positif,senang,0.92,informal,False,Indonesia,sedang,False,2026-03-15 12:05:53,0.74,8,55,jalur pendakian gunung bromo ternyata bagus sekali. btw,False,False,False,False,test
INDO_00416,YouTube,Makanan & Minuman,"Kedai boba yang baru buka tidak ada perubahan berarti, seperti biasa saja.",netral,netral,0.06,semi-formal,False,Indonesia,rendah,False,2026-01-16 07:14:07,0.9,12,74,"kedai boba yang baru buka tidak ada perubahan berarti, seperti biasa saja.",True,False,False,False,train
INDO_00023,Instagram,Layanan,"Layanan reservasi tiket online ternyata bagus sekali, overall quality-nya worth it. ✨",positif,terkejut,0.95,formal,True,Indo-English,rendah,False,2026-04-18 04:41:44,0.89,12,85,"layanan reservasi tiket online ternyata bagus sekali, overall quality-nya worth it. ✨",False,False,False,False,train
INDO_00073,YouTube,Hiburan & Film,"Review film yang lagi ramai dibahas memuaskan banget, packaging-nya amazing. btw",positif,senang,0.82,informal,True,Indo-English,rendah,False,2026-02-26 22:18:35,0.77,11,80,"review film yang lagi ramai dibahas memuaskan banget, packaging-nya amazing. btw",False,True,False,False,validation
INDO_00183,TikTok,Hiburan & Film,"""Terbaik"", katanya. Festival film independen tahun ini mengecewakan banget, rasanya sedih dengernya. parah sih",negatif,sedih,0.77,semi-formal,False,Indonesia,rendah,False,2026-03-12 05:20:28,0.89,14,110,"""terbaik"", katanya. festival film independen tahun ini mengecewakan banget, rasanya sedih dengernya. parah sih",False,True,False,True,test
INDO_00132,YouTube,Wisata & Travel,"Jalur pendakian Gunung Bromo bagus sekali, di luar dugaan, seneng banget jujur.",positif,senang,0.77,informal,False,Indonesia,rendah,False,2026-04-23 02:39:21,0.83,12,79,"jalur pendakian gunung bromo bagus sekali, di luar dugaan, seneng banget jujur.",False,True,False,False,train
INDO_00411,YouTube,Layanan,"Jasa servis kendaraan berjalan sesuai standar, biasa-biasa saja, experience-nya so-so.",netral,netral,0.07,informal,True,Indo-English,rendah,False,2026-02-07 08:07:47,0.94,10,86,"jasa servis kendaraan berjalan sesuai standar, biasa-biasa saja, experience-nya so-so.",False,False,False,False,train
INDO_00194,YouTube,Hiburan & Film,"Acara musik di TV nasional tidak sesuai yang dijanjikan, overall quality-nya a waste of money.",negatif,marah,0.7,informal,True,Indo-English,rendah,False,2026-01-14 12:09:01,0.79,15,94,"acara musik di tv nasional tidak sesuai yang dijanjikan, overall quality-nya a waste of money.",True,False,False,False,train
INDO_00056,YouTube,Wisata & Travel,"Kawasan Malioboro bagus sekali, di luar dugaan, bikin senyum sendiri, packaging-nya amazing. min",positif,senang,0.91,informal,True,Indo-English,sedang,False,2026-01-09 21:33:25,0.88,13,96,"kawasan malioboro bagus sekali, di luar dugaan, bikin senyum sendiri, packaging-nya amazing. min",False,True,False,False,train
INDO_00149,YouTube,Sosial & Politik,"Debat publik soal pendidikan ternyata memuaskan, experience-nya impressive.",positif,senang,0.96,semi-formal,True,Indo-English,sedang,False,2026-02-14 06:04:58,0.91,8,75,"debat publik soal pendidikan ternyata memuaskan, experience-nya impressive.",False,False,False,False,train
INDO_00019,Instagram,Wisata & Travel,"Spot foto di Nusa Penida sama sekali tidak mengecewakan, malah memuaskan banget, packaging-nya so good.",positif,senang,0.89,semi-formal,True,Indo-English,rendah,False,2026-02-26 04:38:44,0.89,15,103,"spot foto di nusa penida sama sekali tidak mengecewakan, malah memuaskan banget, packaging-nya so good.",True,True,False,False,test
INDO_00205,Instagram,Produk/E-commerce,Rice cooker mini tidak sesuai yang dijanjikan. ✨,negatif,sedih,0.73,informal,False,Indonesia,sedang,False,2026-01-16 11:51:27,0.76,8,48,rice cooker mini tidak sesuai yang dijanjikan. ✨,True,False,False,False,train
INDO_00079,Instagram,Produk/E-commerce,"Power bank kapasitas besar sesuai ekspektasi, bikin senyum sendiri, overall quality-nya worth it. 🙏",positif,senang,0.79,informal,True,Indo-English,sedang,False,2026-02-15 04:53:02,0.77,14,99,"power bank kapasitas besar sesuai ekspektasi, bikin senyum sendiri, overall quality-nya worth it. 🙏",False,False,False,False,validation
INDO_00495,YouTube,Sosial & Politik,"Kebijakan pengendalian inflasi berjalan sesuai standar, overall quality-nya okay-ish. btw",netral,netral,0.24,semi-formal,True,Indo-English,sedang,False,2026-01-20 14:42:02,0.82,10,89,"kebijakan pengendalian inflasi berjalan sesuai standar, overall quality-nya okay-ish. btw",False,False,False,False,train
INDO_00263,TikTok,Sosial & Politik,"Kebijakan pengendalian inflasi sama sekali tidak sesuai, bikin kecewa banget, rasanya sedih dengernya, packaging-nya overrated. wkwk",negatif,sedih,0.8,formal,True,Indo-English,rendah,False,2026-03-15 19:30:59,0.84,16,132,"kebijakan pengendalian inflasi sama sekali tidak sesuai, bikin kecewa banget, rasanya sedih dengernya, packaging-nya overrated. wkwk",True,True,False,False,train
INDO_00324,YouTube,Makanan & Minuman,"""Terbaik"", katanya. Jajanan pasar tradisional ternyata mengecewakan, agak nyesek juga, customer service-nya a waste of money. min",negatif,sedih,0.62,formal,True,Indo-English,sedang,False,2026-02-23 23:27:03,0.85,17,129,"""terbaik"", katanya. jajanan pasar tradisional ternyata mengecewakan, agak nyesek juga, customer service-nya a waste of money. min",False,False,False,True,train
INDO_00484,Twitter,Sosial & Politik,"Kebijakan subsidi BBM tidak ada perubahan berarti, customer service-nya okay-ish. #curhat",netral,netral,0.31,semi-formal,True,Indo-English,sedang,False,2026-03-30 01:02:42,0.86,11,89,"kebijakan subsidi bbm tidak ada perubahan berarti, customer service-nya okay-ish. #curhat",True,False,False,False,train
INDO_00080,Instagram,Produk/E-commerce,"Baju custom desain sendiri bagus sekali, di luar dugaan, kaget juga awalnya, overall quality-nya so good. 🙏",positif,terkejut,0.8,informal,True,Indo-English,sedang,False,2026-03-12 20:14:28,0.9,17,107,"baju custom desain sendiri bagus sekali, di luar dugaan, kaget juga awalnya, overall quality-nya so good. 🙏",False,True,False,False,validation
INDO_00040,YouTube,Makanan & Minuman,Warung makan Padang memuaskan banget.,positif,senang,0.99,informal,False,Indonesia,rendah,False,2026-02-01 14:01:22,0.95,5,37,warung makan padang memuaskan banget.,False,True,False,False,train
INDO_00452,Twitter,Layanan,"Layanan reservasi tiket online berjalan sesuai standar, biasa-biasa saja, customer service-nya okay-ish.",netral,netral,0.06,informal,True,Indo-English,sedang,False,2026-03-13 21:10:06,0.79,12,104,"layanan reservasi tiket online berjalan sesuai standar, biasa-biasa saja, customer service-nya okay-ish.",False,False,False,False,validation
INDO_00047,TikTok,Wisata & Travel,"Pantai Kuta di Bali ternyata bagus sekali, bikin senyum sendiri. sumpah bener",positif,senang,0.8,informal,False,Indonesia,sedang,False,2026-03-10 23:40:53,0.8,12,77,"pantai kuta di bali ternyata bagus sekali, bikin senyum sendiri. sumpah bener",False,False,False,False,train
INDO_00239,Instagram,Hiburan & Film,"Review film yang lagi ramai dibahas sama sekali tidak sesuai, bikin kecewa banget. ✨",negatif,marah,0.68,informal,False,Indonesia,sedang,False,2026-02-10 16:22:24,0.9,14,84,"review film yang lagi ramai dibahas sama sekali tidak sesuai, bikin kecewa banget. ✨",True,True,False,False,test
INDO_00392,YouTube,Layanan,"Sistem antrean di kantor pos berjalan sesuai standar, overall quality-nya okay-ish.",netral,netral,0.18,semi-formal,True,Indo-English,sedang,False,2026-02-21 20:12:24,0.78,11,83,"sistem antrean di kantor pos berjalan sesuai standar, overall quality-nya okay-ish.",False,False,False,False,validation
INDO_00353,Twitter,Layanan,"Aplikasi ojek online berjalan sesuai standar, experience-nya nothing special.",netral,netral,0.28,semi-formal,True,Indo-English,sedang,False,2026-01-14 20:45:35,0.81,9,77,"aplikasi ojek online berjalan sesuai standar, experience-nya nothing special.",False,False,False,False,train
INDO_00342,Instagram,Produk/E-commerce,"Sepatu sneakers impor tidak ada perubahan berarti, overall quality-nya just average. 🙏",netral,netral,0.38,formal,True,Indo-English,rendah,False,2026-04-29 06:45:22,0.84,12,86,"sepatu sneakers impor tidak ada perubahan berarti, overall quality-nya just average. 🙏",True,False,False,False,test
INDO_00278,TikTok,Wisata & Travel,"Permisi, Bapak/Ibu, sudah tiga hari menunggu kabar soal kawasan Danau Toba, belum ada respons apa pun.",negatif,sedih,0.76,semi-formal,False,Indonesia,tinggi,True,2026-02-03 05:33:50,0.8,16,102,"permisi, bapak/ibu, sudah tiga hari menunggu kabar soal kawasan danau toba, belum ada respons apa pun.",False,False,True,False,validation
INDO_00291,Twitter,Layanan,"Terima kasih sebelumnya, pihak terkait, sudah tiga hari menunggu kabar soal layanan streaming musik, belum ada respons apa pun, customer service-nya disappointing. #review",negatif,marah,0.63,informal,True,Indo-English,tinggi,True,2026-04-14 17:16:20,0.72,23,171,"terima kasih sebelumnya, pihak terkait, sudah tiga hari menunggu kabar soal layanan streaming musik, belum ada respons apa pun, customer service-nya disappointing. #review",False,False,True,False,train
INDO_00318,YouTube,Wisata & Travel,"Paket wisata ke Yogyakarta sama sekali tidak sesuai, bikin kecewa banget, delivery-nya disappointing. btw",negatif,jijik,0.83,informal,True,Indo-English,sedang,False,2026-02-17 12:54:05,0.82,14,105,"paket wisata ke yogyakarta sama sekali tidak sesuai, bikin kecewa banget, delivery-nya disappointing. btw",True,True,False,False,train
INDO_00305,Instagram,Hiburan & Film,"Konser musik indie kemarin malam ternyata mengecewakan, bikin eneg juga. 🙏",negatif,jijik,0.74,informal,False,Indonesia,sedang,False,2026-02-01 17:30:38,0.91,11,74,"konser musik indie kemarin malam ternyata mengecewakan, bikin eneg juga. 🙏",False,False,False,False,test
INDO_00269,YouTube,Produk/E-commerce,"Blender portable sama sekali tidak sesuai, bikin kecewa banget, agak bikin risih, customer service-nya a waste of money.",negatif,jijik,0.9,informal,True,Indo-English,sedang,False,2026-03-31 18:17:19,0.71,18,120,"blender portable sama sekali tidak sesuai, bikin kecewa banget, agak bikin risih, customer service-nya a waste of money.",True,True,False,False,train
INDO_00070,Instagram,Makanan & Minuman,"Menu ayam geprek bagus sekali, di luar dugaan, di luar dugaan, delivery-nya worth it.",positif,terkejut,0.67,informal,True,Indo-English,rendah,False,2026-03-15 16:23:25,0.89,14,85,"menu ayam geprek bagus sekali, di luar dugaan, di luar dugaan, delivery-nya worth it.",False,True,False,False,train
INDO_00456,Instagram,Produk/E-commerce,Produk fashion dari online shop berjalan sesuai standar. ✨,netral,netral,0.21,semi-formal,False,Indonesia,sedang,False,2026-02-22 10:02:52,0.94,9,58,produk fashion dari online shop berjalan sesuai standar. ✨,False,False,False,False,train
INDO_00466,Instagram,Layanan,"Layanan internet provider tidak ada perubahan berarti, delivery-nya so-so. 🙏",netral,netral,0.28,formal,True,Indo-English,rendah,False,2026-04-19 03:34:26,0.89,10,76,"layanan internet provider tidak ada perubahan berarti, delivery-nya so-so. 🙏",True,False,False,False,test
INDO_00155,TikTok,Wisata & Travel,"Pulau kecil di Kepulauan Seribu bagus sekali, di luar dugaan, delivery-nya amazing. parah sih",positif,senang,0.8,semi-formal,True,Indo-English,rendah,False,2026-02-12 15:28:51,0.78,14,93,"pulau kecil di kepulauan seribu bagus sekali, di luar dugaan, delivery-nya amazing. parah sih",False,True,False,False,train
INDO_00083,YouTube,Makanan & Minuman,"Baru sekali coba bakso beranak, langsung niat balik lagi minggu depan. btw",positif,senang,0.71,formal,False,Indonesia,sedang,True,2026-03-04 23:16:01,0.78,12,74,"baru sekali coba bakso beranak, langsung niat balik lagi minggu depan. btw",False,False,True,False,train
INDO_00478,YouTube,Layanan,"Layanan pengaduan pelanggan berjalan sesuai standar, seperti biasa saja, delivery-nya so-so. min",netral,netral,0.16,semi-formal,True,Indo-English,sedang,False,2026-01-11 20:41:23,0.92,12,96,"layanan pengaduan pelanggan berjalan sesuai standar, seperti biasa saja, delivery-nya so-so. min",False,False,False,False,train
INDO_00173,TikTok,Layanan,"Dengan hormat, Bapak/Ibu, sampai harus komplain dua kali gara-gara sistem antrean di kantor pos. parah sih",negatif,marah,0.78,informal,False,Indonesia,tinggi,True,2026-02-14 11:26:28,0.89,16,106,"dengan hormat, bapak/ibu, sampai harus komplain dua kali gara-gara sistem antrean di kantor pos. parah sih",False,False,True,False,train
