sample_id,platform,domain,text,sentiment_label,emotion,intensity,formality,has_code_switching,cs_languages,politeness,is_implicit,timestamp,annotator_agreement,word_count,char_count
INDO_00357,TikTok,Wisata & Travel,Kawasan Danau Toba terasa cukup wajar. sumpah bener,netral,netral,0.28,formal,False,Indonesia,rendah,False,2026-02-12 19:19:39,0.92,8,51
INDO_00077,Instagram,Wisata & Travel,"Spot foto di Nusa Penida bagus sekali, di luar dugaan, seneng banget jujur, delivery-nya worth it. 🙏",positif,senang,0.99,informal,True,Indo-English,sedang,False,2026-03-29 05:27:57,0.8,17,100
INDO_00462,YouTube,Wisata & Travel,"Candi Borobudur tidak ada perubahan berarti, overall quality-nya just average.",netral,netral,0.39,formal,True,Indo-English,rendah,False,2026-04-25 10:10:37,0.75,10,78
INDO_00498,YouTube,Wisata & Travel,"Pantai Kuta di Bali berjalan seperti hari-hari biasa saja, sungguh, delivery-nya nothing special. btw",netral,netral,0.3,semi-formal,True,Indo-English,sedang,True,2026-02-24 00:27:45,0.8,14,101
INDO_00212,Instagram,Produk/E-commerce,"Headset wireless sama sekali tidak sesuai, bikin kecewa banget, packaging-nya overrated.",negatif,jijik,0.65,formal,True,Indo-English,rendah,False,2026-01-02 06:17:11,0.81,11,88
INDO_00102,Instagram,Wisata & Travel,"Wahana di Dufan ternyata memuaskan, delivery-nya worth it.",positif,senang,0.63,informal,True,Indo-English,sedang,False,2026-02-01 00:03:58,0.79,8,58
INDO_00335,Instagram,Hiburan & Film,"Acara stand-up comedy semalam berjalan sesuai standar, packaging-nya okay-ish. ✨",netral,netral,0.28,semi-formal,True,Indo-English,sedang,False,2026-03-24 01:31:33,0.77,10,80
INDO_00476,Twitter,Produk/E-commerce,Peralatan dapur multifungsi tidak ada perubahan berarti.,netral,netral,0.34,semi-formal,False,Indonesia,rendah,False,2026-03-08 01:40:56,0.78,7,56
INDO_00337,TikTok,Sosial & Politik,Tidak ada yang berbeda dari kebijakan kerja dari rumah dibanding hari-hari sebelumnya. sumpah bener,netral,netral,0.27,formal,False,Indonesia,sedang,True,2026-02-23 22:58:27,0.9,14,99
INDO_00441,YouTube,Sosial & Politik,"Diskusi soal reformasi birokrasi berjalan sesuai standar, ya standar aja sih, customer service-nya just average. btw",netral,netral,0.16,semi-formal,True,Indo-English,rendah,False,2026-01-31 04:35:13,0.78,16,116
INDO_00174,Instagram,Sosial & Politik,"Mohon maaf sebelumnya, Saudara/i, sampai harus komplain dua kali gara-gara wacana pembangunan infrastruktur daerah, delivery-nya disappointing.",negatif,sedih,0.58,informal,True,Indo-English,tinggi,True,2026-02-11 19:26:05,0.84,16,143
INDO_00003,YouTube,Produk/E-commerce,"Tas ransel anti air bagus sekali, di luar dugaan, delivery-nya impressive. min",positif,senang,0.88,semi-formal,True,Indo-English,rendah,False,2026-03-07 08:38:39,0.76,12,78
INDO_00334,YouTube,Hiburan & Film,"Review film yang lagi ramai dibahas tidak sesuai yang dijanjikan, delivery-nya overrated. min",negatif,marah,0.85,formal,True,Indo-English,rendah,False,2026-01-20 20:20:03,0.92,13,93
INDO_00410,YouTube,Sosial & Politik,Isu lingkungan di kota besar berjalan sesuai standar. min,netral,netral,0.36,informal,False,Indonesia,sedang,False,2026-01-19 00:13:37,0.89,9,57
INDO_00071,TikTok,Hiburan & Film,"Festival film independen tahun ini memuaskan banget, seneng banget jujur. sumpah bener",positif,senang,0.94,informal,False,Indonesia,rendah,False,2026-03-15 18:35:22,0.74,12,86
INDO_00210,YouTube,Hiburan & Film,"Belum juga ada kabar dari webtoon yang lagi hits setelah sekian lama menunggu, sungguh.",negatif,sedih,0.73,formal,False,Indonesia,sedang,True,2026-01-19 18:43:51,0.94,14,87
INDO_00064,Instagram,Wisata & Travel,"Kawasan Malioboro bagus sekali, di luar dugaan. 😊",positif,senang,1,semi-formal,False,Indonesia,rendah,False,2026-03-11 16:57:54,0.89,8,49
INDO_00385,Twitter,Sosial & Politik,"Isu sampah plastik di sungai tidak ada perubahan berarti, customer service-nya just average. #curhat",netral,netral,0.31,formal,True,Indo-English,sedang,False,2026-03-08 18:56:59,0.87,14,100
INDO_00094,TikTok,Makanan & Minuman,"Sop buntut sama sekali tidak mengecewakan, malah memuaskan banget, rasanya senang banget, customer service-nya impressive. wkwk",positif,senang,0.72,formal,True,Indo-English,sedang,False,2026-04-28 05:34:02,0.83,16,127
INDO_00486,TikTok,Layanan,Sistem antrean di kantor pos berjalan sesuai standar. parah sih,netral,netral,0.14,semi-formal,False,Indonesia,sedang,False,2026-02-21 08:45:23,0.83,10,63
INDO_00186,YouTube,Wisata & Travel,"Terima kasih sebelumnya, Admin, sampai harus komplain dua kali gara-gara rute road trip Trans-Sumatra, delivery-nya not worth it.",negatif,jijik,0.66,informal,True,Indo-English,tinggi,True,2026-01-09 10:29:37,0.71,18,129
INDO_00034,TikTok,Produk/E-commerce,"Aksesoris handphone tetap terasa menyenangkan, seneng banget jujur. sumpah bener",positif,senang,0.97,semi-formal,False,Indonesia,rendah,False,2026-03-31 05:04:30,0.95,10,80
INDO_00078,TikTok,Makanan & Minuman,"Gudeg khas Jogja bagus sekali, di luar dugaan, customer service-nya impressive. wkwk",positif,senang,0.62,formal,True,Indo-English,rendah,False,2026-04-15 03:00:14,0.8,12,84
INDO_00001,YouTube,Makanan & Minuman,"Bakso beranak memuaskan banget, bikin senyum sendiri. btw",positif,senang,0.87,informal,False,Indonesia,rendah,False,2026-01-25 05:43:55,0.74,8,57
INDO_00012,YouTube,Wisata & Travel,Jalur pendakian Gunung Bromo ternyata bagus sekali. btw,positif,senang,0.92,informal,False,Indonesia,sedang,False,2026-03-15 12:05:53,0.74,8,55
INDO_00416,YouTube,Makanan & Minuman,"Kedai boba yang baru buka tidak ada perubahan berarti, seperti biasa saja.",netral,netral,0.06,semi-formal,False,Indonesia,rendah,False,2026-01-16 07:14:07,0.9,12,74
INDO_00023,Instagram,Layanan,"Layanan reservasi tiket online ternyata bagus sekali, overall quality-nya worth it. ✨",positif,terkejut,0.95,formal,True,Indo-English,rendah,False,2026-04-18 04:41:44,0.89,12,85
INDO_00073,YouTube,Hiburan & Film,"Review film yang lagi ramai dibahas memuaskan banget, packaging-nya amazing. btw",positif,senang,0.82,informal,True,Indo-English,rendah,False,2026-02-26 22:18:35,0.77,11,80
INDO_00183,TikTok,Hiburan & Film,"""Terbaik"", katanya. Festival film independen tahun ini mengecewakan banget, rasanya sedih dengernya. parah sih",negatif,sedih,0.77,semi-formal,False,Indonesia,rendah,False,2026-03-12 05:20:28,0.89,14,110
INDO_00132,YouTube,Wisata & Travel,"Jalur pendakian Gunung Bromo bagus sekali, di luar dugaan, seneng banget jujur.",positif,senang,0.77,informal,False,Indonesia,rendah,False,2026-04-23 02:39:21,0.83,12,79
INDO_00411,YouTube,Layanan,"Jasa servis kendaraan berjalan sesuai standar, biasa-biasa saja, experience-nya so-so.",netral,netral,0.07,informal,True,Indo-English,rendah,False,2026-02-07 08:07:47,0.94,10,86
INDO_00194,YouTube,Hiburan & Film,"Acara musik di TV nasional tidak sesuai yang dijanjikan, overall quality-nya a waste of money.",negatif,marah,0.7,informal,True,Indo-English,rendah,False,2026-01-14 12:09:01,0.79,15,94
INDO_00056,YouTube,Wisata & Travel,"Kawasan Malioboro bagus sekali, di luar dugaan, bikin senyum sendiri, packaging-nya amazing. min",positif,senang,0.91,informal,True,Indo-English,sedang,False,2026-01-09 21:33:25,0.88,13,96
INDO_00149,YouTube,Sosial & Politik,"Debat publik soal pendidikan ternyata memuaskan, experience-nya impressive.",positif,senang,0.96,semi-formal,True,Indo-English,sedang,False,2026-02-14 06:04:58,0.91,8,75
INDO_00019,Instagram,Wisata & Travel,"Spot foto di Nusa Penida sama sekali tidak mengecewakan, malah memuaskan banget, packaging-nya so good.",positif,senang,0.89,semi-formal,True,Indo-English,rendah,False,2026-02-26 04:38:44,0.89,15,103
INDO_00205,Instagram,Produk/E-commerce,Rice cooker mini tidak sesuai yang dijanjikan. ✨,negatif,sedih,0.73,informal,False,Indonesia,sedang,False,2026-01-16 11:51:27,0.76,8,48
INDO_00079,Instagram,Produk/E-commerce,"Power bank kapasitas besar sesuai ekspektasi, bikin senyum sendiri, overall quality-nya worth it. 🙏",positif,senang,0.79,informal,True,Indo-English,sedang,False,2026-02-15 04:53:02,0.77,14,99
INDO_00495,YouTube,Sosial & Politik,"Kebijakan pengendalian inflasi berjalan sesuai standar, overall quality-nya okay-ish. btw",netral,netral,0.24,semi-formal,True,Indo-English,sedang,False,2026-01-20 14:42:02,0.82,10,89
INDO_00263,TikTok,Sosial & Politik,"Kebijakan pengendalian inflasi sama sekali tidak sesuai, bikin kecewa banget, rasanya sedih dengernya, packaging-nya overrated. wkwk",negatif,sedih,0.8,formal,True,Indo-English,rendah,False,2026-03-15 19:30:59,0.84,16,132
INDO_00324,YouTube,Makanan & Minuman,"""Terbaik"", katanya. Jajanan pasar tradisional ternyata mengecewakan, agak nyesek juga, customer service-nya a waste of money. min",negatif,sedih,0.62,formal,True,Indo-English,sedang,False,2026-02-23 23:27:03,0.85,17,129
INDO_00484,Twitter,Sosial & Politik,"Kebijakan subsidi BBM tidak ada perubahan berarti, customer service-nya okay-ish. #curhat",netral,netral,0.31,semi-formal,True,Indo-English,sedang,False,2026-03-30 01:02:42,0.86,11,89
INDO_00080,Instagram,Produk/E-commerce,"Baju custom desain sendiri bagus sekali, di luar dugaan, kaget juga awalnya, overall quality-nya so good. 🙏",positif,terkejut,0.8,informal,True,Indo-English,sedang,False,2026-03-12 20:14:28,0.9,17,107
INDO_00040,YouTube,Makanan & Minuman,Warung makan Padang memuaskan banget.,positif,senang,0.99,informal,False,Indonesia,rendah,False,2026-02-01 14:01:22,0.95,5,37
INDO_00452,Twitter,Layanan,"Layanan reservasi tiket online berjalan sesuai standar, biasa-biasa saja, customer service-nya okay-ish.",netral,netral,0.06,informal,True,Indo-English,sedang,False,2026-03-13 21:10:06,0.79,12,104
INDO_00047,TikTok,Wisata & Travel,"Pantai Kuta di Bali ternyata bagus sekali, bikin senyum sendiri. sumpah bener",positif,senang,0.8,informal,False,Indonesia,sedang,False,2026-03-10 23:40:53,0.8,12,77
INDO_00239,Instagram,Hiburan & Film,"Review film yang lagi ramai dibahas sama sekali tidak sesuai, bikin kecewa banget. ✨",negatif,marah,0.68,informal,False,Indonesia,sedang,False,2026-02-10 16:22:24,0.9,14,84
INDO_00392,YouTube,Layanan,"Sistem antrean di kantor pos berjalan sesuai standar, overall quality-nya okay-ish.",netral,netral,0.18,semi-formal,True,Indo-English,sedang,False,2026-02-21 20:12:24,0.78,11,83
INDO_00353,Twitter,Layanan,"Aplikasi ojek online berjalan sesuai standar, experience-nya nothing special.",netral,netral,0.28,semi-formal,True,Indo-English,sedang,False,2026-01-14 20:45:35,0.81,9,77
INDO_00342,Instagram,Produk/E-commerce,"Sepatu sneakers impor tidak ada perubahan berarti, overall quality-nya just average. 🙏",netral,netral,0.38,formal,True,Indo-English,rendah,False,2026-04-29 06:45:22,0.84,12,86
INDO_00278,TikTok,Wisata & Travel,"Permisi, Bapak/Ibu, sudah tiga hari menunggu kabar soal kawasan Danau Toba, belum ada respons apa pun.",negatif,sedih,0.76,semi-formal,False,Indonesia,tinggi,True,2026-02-03 05:33:50,0.8,16,102
INDO_00291,Twitter,Layanan,"Terima kasih sebelumnya, pihak terkait, sudah tiga hari menunggu kabar soal layanan streaming musik, belum ada respons apa pun, customer service-nya disappointing. #review",negatif,marah,0.63,informal,True,Indo-English,tinggi,True,2026-04-14 17:16:20,0.72,23,171
INDO_00318,YouTube,Wisata & Travel,"Paket wisata ke Yogyakarta sama sekali tidak sesuai, bikin kecewa banget, delivery-nya disappointing. btw",negatif,jijik,0.83,informal,True,Indo-English,sedang,False,2026-02-17 12:54:05,0.82,14,105
INDO_00305,Instagram,Hiburan & Film,"Konser musik indie kemarin malam ternyata mengecewakan, bikin eneg juga. 🙏",negatif,jijik,0.74,informal,False,Indonesia,sedang,False,2026-02-01 17:30:38,0.91,11,74
INDO_00269,YouTube,Produk/E-commerce,"Blender portable sama sekali tidak sesuai, bikin kecewa banget, agak bikin risih, customer service-nya a waste of money.",negatif,jijik,0.9,informal,True,Indo-English,sedang,False,2026-03-31 18:17:19,0.71,18,120
INDO_00070,Instagram,Makanan & Minuman,"Menu ayam geprek bagus sekali, di luar dugaan, di luar dugaan, delivery-nya worth it.",positif,terkejut,0.67,informal,True,Indo-English,rendah,False,2026-03-15 16:23:25,0.89,14,85
INDO_00456,Instagram,Produk/E-commerce,Produk fashion dari online shop berjalan sesuai standar. ✨,netral,netral,0.21,semi-formal,False,Indonesia,sedang,False,2026-02-22 10:02:52,0.94,9,58
INDO_00466,Instagram,Layanan,"Layanan internet provider tidak ada perubahan berarti, delivery-nya so-so. 🙏",netral,netral,0.28,formal,True,Indo-English,rendah,False,2026-04-19 03:34:26,0.89,10,76
INDO_00155,TikTok,Wisata & Travel,"Pulau kecil di Kepulauan Seribu bagus sekali, di luar dugaan, delivery-nya amazing. parah sih",positif,senang,0.8,semi-formal,True,Indo-English,rendah,False,2026-02-12 15:28:51,0.78,14,93
INDO_00083,YouTube,Makanan & Minuman,"Baru sekali coba bakso beranak, langsung niat balik lagi minggu depan. btw",positif,senang,0.71,formal,False,Indonesia,sedang,True,2026-03-04 23:16:01,0.78,12,74
INDO_00478,YouTube,Layanan,"Layanan pengaduan pelanggan berjalan sesuai standar, seperti biasa saja, delivery-nya so-so. min",netral,netral,0.16,semi-formal,True,Indo-English,sedang,False,2026-01-11 20:41:23,0.92,12,96
INDO_00173,TikTok,Layanan,"Dengan hormat, Bapak/Ibu, sampai harus komplain dua kali gara-gara sistem antrean di kantor pos. parah sih",negatif,marah,0.78,informal,False,Indonesia,tinggi,True,2026-02-14 11:26:28,0.89,16,106
INDO_00322,Instagram,Sosial & Politik,"Sungguh ""memuaskan"", sindirnya. Kebijakan kenaikan tarif pajak ternyata mengecewakan, rasanya sedih dengernya.",negatif,sedih,0.7,informal,False,Indonesia,rendah,False,2026-01-07 05:35:52,0.87,12,110
INDO_00091,TikTok,Sosial & Politik,"Kebijakan kerja dari rumah bagus sekali, di luar dugaan, overall quality-nya impressive. parah sih",positif,senang,0.78,semi-formal,True,Indo-English,sedang,False,2026-03-03 06:07:03,0.8,14,98
INDO_00181,TikTok,Layanan,"Layanan bank digital mengecewakan banget, agak bikin risih, experience-nya not worth it. wkwk",negatif,jijik,0.94,semi-formal,True,Indo-English,rendah,False,2026-03-19 21:33:48,0.83,13,93
INDO_00415,Twitter,Produk/E-commerce,"Jam tangan pintar tidak ada perubahan berarti, ya standar aja sih, packaging-nya okay-ish.",netral,netral,0.31,semi-formal,True,Indo-English,sedang,False,2026-02-21 23:45:46,0.85,13,90
INDO_00313,YouTube,Produk/E-commerce,"Permisi, Admin, sudah tiga hari menunggu kabar soal aksesoris handphone, belum ada respons apa pun. btw",negatif,marah,0.83,semi-formal,False,Indonesia,tinggi,True,2026-01-13 20:27:40,0.88,16,103
INDO_00279,Instagram,Produk/E-commerce,"Mohon maaf sebelumnya, Saudara/i, sampai harus komplain dua kali gara-gara aksesoris handphone, packaging-nya overrated. 🙏",negatif,sedih,0.7,semi-formal,True,Indo-English,tinggi,True,2026-02-10 23:15:04,0.83,15,122
INDO_00382,TikTok,Hiburan & Film,"Permisi, Bapak/Ibu, review film yang lagi ramai dibahas berjalan sesuai standar, biasa-biasa saja. sumpah bener",netral,netral,0.38,semi-formal,False,Indonesia,tinggi,False,2026-04-21 03:15:02,0.94,15,111
INDO_00473,YouTube,Wisata & Travel,"Wahana di Dufan berjalan sesuai standar, experience-nya nothing special. btw",netral,netral,0.04,formal,True,Indo-English,sedang,False,2026-03-03 02:30:18,0.8,10,76
INDO_00363,Twitter,Makanan & Minuman,Nasi uduk pagi hari tidak ada perubahan berarti. #review,netral,netral,0.36,semi-formal,False,Indonesia,sedang,False,2026-02-11 06:54:41,0.78,9,56
INDO_00325,TikTok,Wisata & Travel,"Wah, ""hebat"" sekali. Pulau kecil di Kepulauan Seribu mengecewakan banget. wkwk",negatif,marah,0.88,informal,False,Indonesia,rendah,False,2026-04-07 22:35:10,0.78,11,78
INDO_00432,Instagram,Makanan & Minuman,"Warung makan Padang tidak ada perubahan berarti, customer service-nya so-so. 😊",netral,netral,0.34,semi-formal,True,Indo-English,rendah,False,2026-03-18 19:46:41,0.89,11,78
INDO_00348,YouTube,Makanan & Minuman,"Rendang daging sapi datang tepat waktu seperti biasanya, sungguh, packaging-nya so-so.",netral,netral,0.21,formal,True,Indo-English,sedang,True,2026-03-31 02:24:16,0.85,11,86
INDO_00087,Instagram,Layanan,"Jasa pengiriman paket ternyata memuaskan, delivery-nya amazing. ✨",positif,senang,0.84,informal,True,Indo-English,sedang,False,2026-01-28 17:49:47,0.91,8,65
INDO_00076,YouTube,Hiburan & Film,"Serial drama di platform streaming bagus sekali, di luar dugaan, customer service-nya highly recommended. btw",positif,senang,0.65,semi-formal,True,Indo-English,rendah,False,2026-02-21 10:25:51,0.75,15,109
INDO_00439,Instagram,Hiburan & Film,"Serial anime yang lagi tayang berjalan sesuai standar, delivery-nya nothing special. 😊",netral,netral,0.4,semi-formal,True,Indo-English,sedang,False,2026-01-28 02:43:28,0.92,12,86
INDO_00016,Twitter,Sosial & Politik,"Diskusi soal reformasi birokrasi sama sekali tidak mengecewakan, malah memuaskan banget, customer service-nya impressive. #curhat",positif,senang,0.84,informal,True,Indo-English,rendah,False,2026-02-17 21:22:02,0.75,15,129
INDO_00250,Instagram,Wisata & Travel,"Resort tepi pantai di Lombok sama sekali tidak sesuai, bikin kecewa banget, jujur bikin kecewa, experience-nya disappointing. 🙏",negatif,sedih,0.68,semi-formal,True,Indo-English,sedang,False,2026-04-20 00:09:54,0.75,18,127
INDO_00434,Instagram,Makanan & Minuman,"Warung makan Padang tidak ada perubahan berarti, delivery-nya okay-ish.",netral,netral,0.26,semi-formal,True,Indo-English,rendah,False,2026-04-15 15:48:58,0.75,9,71
INDO_00020,Instagram,Makanan & Minuman,Mie ayam legendaris memuaskan banget.,positif,senang,0.63,formal,False,Indonesia,rendah,False,2026-02-21 00:27:52,0.86,5,37
INDO_00323,TikTok,Makanan & Minuman,"""Terbaik"", katanya. Kue kering buatan rumahan mengecewakan banget. wkwk",negatif,marah,0.9,formal,False,Indonesia,rendah,False,2026-04-24 12:22:05,0.73,9,71
INDO_00333,YouTube,Makanan & Minuman,"Sop buntut sama sekali tidak sesuai, bikin kecewa banget, packaging-nya a waste of money.",negatif,marah,0.57,informal,True,Indo-English,rendah,False,2026-03-25 04:38:46,0.84,14,89
INDO_00057,YouTube,Hiburan & Film,Film dokumenter tentang budaya daerah memuaskan banget.,positif,senang,0.73,informal,False,Indonesia,sedang,False,2026-04-24 07:27:37,0.76,7,55
INDO_00302,Instagram,Produk/E-commerce,"Jam tangan pintar sama sekali tidak sesuai, bikin kecewa banget, rasanya sedih dengernya. ✨",negatif,sedih,0.56,informal,False,Indonesia,sedang,False,2026-03-19 13:20:28,0.96,14,91
INDO_00230,TikTok,Makanan & Minuman,"Rendang daging sapi ternyata mengecewakan, jujur bikin kecewa, packaging-nya so bad.",negatif,sedih,0.77,informal,True,Indo-English,sedang,False,2026-03-12 07:01:32,0.81,11,84
INDO_00332,Twitter,Produk/E-commerce,"Terima kasih sebelumnya, Admin, sampai harus komplain dua kali gara-gara power bank kapasitas besar, sungguh.",negatif,sedih,0.78,formal,False,Indonesia,tinggi,True,2026-02-12 14:06:31,0.88,15,109
INDO_00133,YouTube,Layanan,"Layanan pengembalian barang sesuai ekspektasi, customer service-nya worth it. btw",positif,senang,0.87,semi-formal,True,Indo-English,sedang,False,2026-01-27 20:40:21,0.76,10,81
INDO_00138,TikTok,Sosial & Politik,"Diskusi soal reformasi birokrasi memuaskan banget, bikin senyum sendiri. wkwk",positif,senang,0.84,informal,False,Indonesia,rendah,False,2026-04-09 22:33:52,0.9,10,77
INDO_00424,TikTok,Makanan & Minuman,"Sate ayam Madura tidak ada perubahan berarti, delivery-nya just average. sumpah bener",netral,netral,0.18,informal,True,Indo-English,sedang,False,2026-04-06 19:57:01,0.83,12,85
INDO_00336,Instagram,Produk/E-commerce,"Tas kulit buatan lokal berjalan sesuai standar, ya standar aja sih. ✨",netral,netral,0.2,semi-formal,False,Indonesia,sedang,False,2026-01-18 15:40:06,0.82,12,69
INDO_00026,TikTok,Makanan & Minuman,"Gudeg khas Jogja sama sekali tidak mengecewakan, malah memuaskan banget, customer service-nya worth it.",positif,senang,0.76,informal,True,Indo-English,rendah,False,2026-01-10 03:34:41,0.94,14,103
INDO_00465,TikTok,Produk/E-commerce,"Tas kulit buatan lokal berjalan sesuai standar, biasa-biasa saja, customer service-nya nothing special.",netral,netral,0.02,formal,True,Indo-English,sedang,False,2026-01-22 07:00:07,0.84,13,103
INDO_00282,TikTok,Wisata & Travel,"Pulau kecil di Kepulauan Seribu sama sekali tidak sesuai, bikin kecewa banget, customer service-nya so bad. wkwk",negatif,sedih,0.72,semi-formal,True,Indo-English,rendah,False,2026-01-30 16:17:31,0.81,17,112
INDO_00248,Twitter,Sosial & Politik,"Diskusi soal reformasi birokrasi sama sekali tidak sesuai, bikin kecewa banget, rasanya sedih dengernya, customer service-nya a waste of money.",negatif,sedih,0.69,semi-formal,True,Indo-English,sedang,False,2026-02-01 01:34:12,0.85,20,143
INDO_00238,Instagram,Sosial & Politik,"Isu lingkungan di kota besar sama sekali tidak sesuai, bikin kecewa banget. ✨",negatif,sedih,0.86,semi-formal,False,Indonesia,sedang,False,2026-03-23 23:24:28,0.84,13,77
INDO_00118,TikTok,Hiburan & Film,Langsung aku rekomendasikan film layar lebar akhir pekan ini ke semua teman dekat. sumpah bener,positif,senang,0.87,informal,False,Indonesia,sedang,True,2026-04-26 19:28:03,0.88,15,95
INDO_00043,YouTube,Produk/E-commerce,"Smartphone rilisan terbaru bagus sekali, di luar dugaan, seneng banget jujur, experience-nya worth it. min",positif,senang,0.74,informal,True,Indo-English,rendah,False,2026-01-13 08:03:38,0.9,15,106
INDO_00221,TikTok,Hiburan & Film,"Dengan hormat, Admin, sudah tiga hari menunggu kabar soal film animasi buatan studio lokal, belum ada respons apa pun, delivery-nya a waste of money. sumpah bener",negatif,marah,0.63,informal,True,Indo-English,tinggi,True,2026-03-16 17:08:44,0.79,26,162
